artistName|artistUri|songName|songUri|songDuration|songPopularity|played_at
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|Black Water|spotify:track:4p8QcNkaq2FQj8uGJ7HEDK|255266|64|2021-04-15T15:11:47.708Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|China Grove|spotify:track:7cy1bEJV6FCtDaYpsk8aG6|195306|68|2021-04-15T15:07:31.961Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|What a Fool Believes|spotify:track:2yBVeksU2EtrPJbTu4ZslK|223866|72|2021-04-15T15:04:16.166Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|Long Train Runnin'|spotify:track:4nXkbcTj3nyww1cHkw5RAP|207266|73|2021-04-15T15:00:31.809Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|Listen to the Music|spotify:track:7Ar4G7Ci11gpt6sfH9Cgz5|227266|77|2021-04-15T14:57:04.058Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|Long Train Runnin'|spotify:track:4nXkbcTj3nyww1cHkw5RAP|207266|73|2021-04-15T14:51:34.612Z
Fleetwood Mac|spotify:artist:08GQAI4eElDnROBrJRGE0X|Landslide|spotify:track:5ihS6UUlyQAfmp48eSkxuQ|199493|79|2021-04-15T14:24:04.381Z
Jimi Hendrix|spotify:artist:776Uo845nYHJpNaStv1Ds4|Little Wing|spotify:track:1Eolhana7nKHYpcYpdVcT5|145746|72|2021-04-15T14:20:44.426Z
Fleetwood Mac|spotify:artist:08GQAI4eElDnROBrJRGE0X|Dreams - 2004 Remaster|spotify:track:0ofHAoxe9vBkTCp2UQIavz|257800|86|2021-04-15T14:18:18.236Z
Fleetwood Mac|spotify:artist:08GQAI4eElDnROBrJRGE0X|Dreams|spotify:track:1lbXEepatjRVjoG8pZMtdp|254453|71|2021-04-15T13:57:21.973Z
Matthias Meyer|spotify:artist:6bWakzaLHaNewLTdhJHPQb|Hope|spotify:track:7DfTTnFaBsjdmLV4DAvvAh|478442|17|2021-04-15T01:24:09.205Z
MHE|spotify:artist:5nEWKkUf6IA0Ry5wBOG1J0|You Rock My World - Gianni Romano vs. Emanuele Esposito Dub|spotify:track:26wsv13P6mGFKZGH7Hy5dM|357966|0|2021-04-15T01:20:19.051Z
Band of Horses|spotify:artist:0OdUWJ0sBjDrqHygGUXeCF|Older|spotify:track:608satzuvomiGFbZMNck8S|208026|33|2021-04-14T18:17:56.390Z
